Park Name,Pcode,FLI_day,FBI_day,FLI_pct,FBI_pct,FLI_max_delta,FBI_max_delta,FLI_rate,FBI_rate
Wind Cave National Park,WICA,96.73,134.20,1.44,19.81,1.18,24.80,-1.19,-0.34
Wilson's Creek National Battlefield,WICR,63.36,95.33,15.85,3.23,27.92,6.56,-0.60,-0.66
Wolf Trap National Park for the Performing Arts,WOTR,72.49,104.15,11.72,1.73,23.07,1.84,-0.65,-0.76
Wright Brothers National Memorial,WRBR,41.09,77.04,54.46,27.28,30.61,38.91,-0.06,-0.40
Wrangell - St Elias National Park and Preserve,WRST,142.12,169.53,8.59,10.53,0.30,6.13,-1.11,-1.22
Wupatki National Monument,WUPA,71.20,109.07,5.80,5.14,8.27,6.56,-1.25,-0.88
Yellowstone National Park,YELL,130.91,167.94,59.82,79.22,23.85,26.47,0.09,0.15
Yosemite National Park,YOSE,78.35,121.50,9.16,19.89,14.33,25.04,-1.12,-0.47
Yukon-Charley Rivers National Preserve,YUCH,133.97,157.93,2.49,1.41,0.76,0.87,-0.71,-0.91
Yucca House National Monument,YUHO,100.74,136.65,4.14,11.11,4.62,20.15,-0.91,-0.39
Zion National Park,ZION,83.68,122.08,10.21,14.71,15.07,19.45,-1.09,-0.46
